Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,gender Response,gender Quantised,age Value,parh1 Response,parh1 Quantised,parh2 Response,parh2 Quantised,parh3 Response,parh3 Quantised,parh4 Response,parh4 Quantised,hypothesis Value
1,1692034332400,14/08/2023 17:32:12,1692037932400,1,14/08/2023 19:32:12,139290,5,questionnaire-sxre,,31182257,BLIND,9244416,,complete,,64da7247912b80a7fc6c16d6,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.188,1280x720,1177x648,,,0,demographics,4,Female,2,41,1,5,1,5,0,4,0,4,virtual reality
1,1692034340378,14/08/2023 17:32:20,1692037940378,1,14/08/2023 19:32:20,139290,5,questionnaire-sxre,,31182269,BLIND,9244443,,complete,,64da7291309acc844cdb4279,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,,0,demographics,4,Female,2,37,3,7,-2,2,2,6,2,6,imagination of how one would behave in an experiment
1,1692034358269,14/08/2023 17:32:38,1692037958269,1,14/08/2023 19:32:38,139290,5,questionnaire-sxre,,31182280,BLIND,9244385,,complete,,64da719e7389851d69a5e2f5,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1536x864,1536x715,,,0,demographics,4,Female,2,52,2,6,-3,1,2,6,-3,1,Virtual reality - where you are in a virtual bidy that is simulated and follows your own movements
1,1692034367632,14/08/2023 17:32:47,1692037967632,1,14/08/2023 19:32:47,139290,5,questionnaire-sxre,,31182294,BLIND,9244432,,complete,,64da7263b3da4a537cc59fb6,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,810x977,,,0,demographics,4,Female,2,46,0,4,2,6,0,4,-1,3,our relationship to ourselvea in a virtual environment 
1,1692034372493,14/08/2023 17:32:52,1692037972493,1,14/08/2023 19:32:52,139290,5,questionnaire-sxre,,31182300,BLIND,9244430,,complete,,64da7273b6962ef9c5e79fe3,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1440x783,,,0,demographics,4,Female,2,49,1,5,1,5,2,6,2,6,Human perception of how to contral their body in a virtual environment.
1,1692034396043,14/08/2023 17:33:16,1692037996043,1,14/08/2023 19:33:16,139290,5,questionnaire-sxre,,31182319,BLIND,9244441,,complete,,64da72a12e189e506ecaacf0,mobile,Apple iPhone,iOS 16.0,Chrome 115.0.5790.160,414x896,414x720,,,0,demographics,4,Female,2,30,0,4,2,6,1,5,1,5,How participant would experience the virtual reality scenario 
1,1689936840121,21/07/2023 10:54:00,1689940440121,1,21/07/2023 12:54:00,139290,5,questionnaire-sxre,,30792456,BLIND,9143439,,complete,,64ba7108524cdb6f33da7f7e,mobile,Samsung SM-M135F,Android 13,Samsung Browser 22.0,384x857,384x737,,,,demographics,4,Female,2,31,1,5,0,4,1,5,0,4,to see if people feel like they are the character in the virtual world
1,1689936834683,21/07/2023 10:53:54,1689940434683,1,21/07/2023 12:53:54,139290,5,questionnaire-sxre,,30792453,BLIND,9143435,,complete,,64ba70fd1da81a4df4091155,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1440x821,,,,demographics,4,Female,2,41,-2,2,2,6,-2,2,2,6,To what extent we perceived virtual reality as reality
1,1689936711792,21/07/2023 10:51:51,1689940311792,1,21/07/2023 12:51:51,139290,5,questionnaire-sxre,,30792391,BLIND,9143418,,complete,,64ba70848e3c43c5f3ed3294,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x569,,,,demographics,4,Male,1,19,-1,3,1,5,-1,3,-1,3,"I liked it, it was unique as I have never seen this topic discussed in a study."
1,1692034431370,14/08/2023 17:33:51,1692038031370,1,14/08/2023 19:33:51,139290,5,questionnaire-sxre,,31182341,BLIND,9244470,,complete,,64da72f8687a7aecbbbd7a78,computer,Desktop or Laptop,Mac OS 10.15.6,Safari undefined,768x1024,768x921,,,0,demographics,4,Female,2,65,1,5,1,5,1,5,1,5,"body movement , and AI "
1,1692034450338,14/08/2023 17:34:10,1692038050338,1,14/08/2023 19:34:10,139290,5,questionnaire-sxre,,31182356,BLIND,9244483,,complete,,64da732388c0b5d1adf16208,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,2560x1440,2560x1323,,,0,demographics,4,Female,2,29,2,6,-3,1,2,6,-3,1,vr
